Link,Title, Price  ,Standing screen display size(Inches),Screen Resolution,Max Screen Resolution,Processor,RAM Type,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Graphics Card Ram Size,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Average Battery Life (in hours)
https://www.amazon.com//2021-Dell-Inspiron-Laptop-i5-1035G1/dp/B09MC3WH8R/ref=sr_1_194?keywords=laptop&qid=1653585595&sr=8-194,2021 Dell Inspiron 15 Laptop:,$555.00 ,15.6,1920x1080,1920 x 1080 Pixels,core_i5,DDR4,8 GB,3.6 GHz,256 GB SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,,,,
https://www.amazon.com//2021-MSI-HD-Gaming-i5-10200H-PCI/dp/B096WH5MY9/ref=sr_1_146?keywords=laptop&qid=1653585587&sr=8-146,2021 MSI - GF63035 |,$684.98 ,15.6,,1920 x 1080 Pixels,core_i5,DDR4,8 GB,4.5 GHz,1 TB SSD,RTX 3050,NVIDIA,Dedicated,Bluetooth,,,,6 Hours
https://www.amazon.com//2022-ASUS-Vivobook-15-6-Laptop/dp/B09Y125HJ9/ref=sr_1_278?keywords=laptop&qid=1653585611&sr=8-278,"2022 ASUS Vivobook 15.6"" FHD","$1,099.00 ",15.6,,1920x1080 Pixels,core_i7,DDR4,36 GB,2666 MHz,1 TB SSD,Intel Iris Plus,Intel,Integrated,801.11ac,,,4,6 Hours
https://www.amazon.com//2022-HP-Performance-Business-Laptop/dp/B09SGVQQJ1/ref=sr_1_205?keywords=laptop&qid=1653585595&sr=8-205,2022 HP High Performance Business,$899.00 ,15.6,1920x1080,1920 x 1080 Pixels,core_i5,DDR4,16 GB,2666 MHz,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11a/g/n/ac,,,3,6 Hours
https://www.amazon.com//2022-LENOVO-ThinkPad-Yoga-Laptop/dp/B09WKYT1N2/ref=sr_1_182?keywords=laptop&qid=1653585592&sr=8-182,2022 LENOVO ThinkPad X1 Yoga,"$1,498.00 ",14,1920x1080,1920 x 1080 Pixels,core_i5,LPDDR3,16 GB,1.6 GHz,1 TB ssd,Intel UHD Graphics,Intel,Integrated,802.11ax,,,3,
https://www.amazon.com//Acer-3-60GHz-i5-1035G-DVD-Writer-A317-52/dp/B09432ZFQ6/ref=sr_1_255?keywords=laptop&qid=1653585606&sr=8-255,"Acer Aspire 3 Laptop, 17.3''",$479.00 ,17.3,,1600 x 900 Pixels,core_i5,DDR4,20 GB,3.6 GHz,1 TB SSD,UHD Graphics,Intel,Integrated,Bluetooth,,2,1,
https://www.amazon.com//Acer-A515-46-R3UB-Display-Quad-Core-Processor/dp/B09HVC79PC/ref=sr_1_1?keywords=laptop&qid=1653585547&sr=8-1,Acer Aspire 5 A515-46-R3UB |,$366.84 ,15.6,,1920 x 1080,ryzen_3,DDR4,4 GB,3.5 GHz,128 GB SSD,,AMD,Integrated,Bluetooth,,1,3,10 Hours
https://www.amazon.com//Acer-A515-55-35SE-i3-1005G1-Processor-Fingerprint/dp/B08HN1WDWZ/ref=sr_1_302?keywords=laptop&qid=1653585614&sr=8-302,"Acer Aspire 5 A515-55-35SE, 15.6""",$369.00 ,15.6,,1920x1080 Pixels,core_i3,DDR4,4 GB,3.4 GHz,128 GB SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,,1,3,8 Hours
https://www.amazon.com//Acer-A515-56-53S3-i5-1135G7-Graphics-Fingerprint/dp/B09J5HXWG3/ref=sr_1_301?keywords=laptop&qid=1653585614&sr=8-301,Acer Aspire 5 A515-56-53S3 Laptop,$602.62 ,15.6,,1920 x 1080,core_i5,DDR4,8 GB,,256 GB SSD,,Intel,Integrated,"Bluetooth, 802.11ax",,1,3,
https://www.amazon.com//Acer-A515-56-702V-i7-1165G7-Graphics-Fingerprint/dp/B09J5FQ4P5/ref=sr_1_122?keywords=laptop&qid=1653585581&sr=8-122,Acer Aspire 5 A515-56-702V Laptop,$879.99 ,15.6,,1920 x 1080,core_i7,DDR4,16 GB,2.8 GHz,512 GB SSD,,Intel,Integrated,"Bluetooth, 802.11ax",,1,3,
https://www.amazon.com//Acer-A517-52-75N6-i7-1165G7-Graphics-Fingerprint/dp/B09JHGHF7Y/ref=sr_1_15?keywords=laptop&qid=1653585547&sr=8-15,Acer Aspire 5 A517-52-75N6 Laptop,$949.99 ,17.3,,1920 x 1080,core_i7,DDR4,16 GB,2.8 GHz,512 GB SSD,,Intel,Integrated,Bluetooth,,1,3,8 Hours
https://www.amazon.com//Acer-AN515-58-725A-i7-12700H-GeForce-Keyboard/dp/B09TWYSVPM/ref=sr_1_84?keywords=laptop&qid=1653585574&sr=8-84,Acer Nitro 5 AN515-58-725A Gaming,"$1,449.99 ",15.6,,1920 x 1080,core_i7,DDR4,16 GB,,512 GB SSD,,NVIDIA,Dedicated,"Bluetooth, 802.11ax",6 GB,,3,
https://www.amazon.com//Acer-AN517-41-R3NX-Octa-Core-GeForce-Keyboard/dp/B093J9ZNJK/ref=sr_1_179?keywords=laptop&qid=1653585592&sr=8-179,Acer Nitro 5 AN517-41-R3NX Gaming,"$1,999.99 ",17.3,,1920 x 1080 Pixels,ryzen_7,DDR4,16 GB,3200 MHz,1 TB SSD,,NVIDIA,Dedicated,Bluetooth,,,4,9 Hours
https://www.amazon.com//Acer-AN517-54-79L1-i7-11800H-GeForce-Display/dp/B09HJKGK5V/ref=sr_1_13?keywords=laptop&qid=1653585547&sr=8-13,Acer Nitro 5 AN517-54-79L1 Gaming,"$1,099.99 ",17.3,1920 x 1080,1920 x 1080,core_i7,DDR4,16 GB,4.6 GHz,1 TB SSD,,NVIDIA,Dedicated,"Bluetooth, 802.11ax",4 GB,,4,8 Hours
https://www.amazon.com//Acer-i5-1035G1-Quad-Core-Processor-Ethernet/dp/B08K3NGK2Z/ref=sr_1_249?keywords=laptop&qid=1653585606&sr=8-249,"2020 Acer Aspire 3 15.6""",$417.00 ,15.6,1920 x 1080 pixels,1920x1080 Pixels,core_i5,DDR4,8 GB,3.6 GHz,256 GB SSD,Integrated Intel Graphics,Intel,,802.11ac,,2,,8 Hours
https://www.amazon.com//Acer-i7-1165G7-Graphics-Antimicrobial-SF514-55TA-74EC/dp/B08JQKMFFB/ref=sr_1_63?keywords=laptop&qid=1653585567&sr=8-63,Acer Swift 5 Intel Evo,"$1,092.99 ",14,,1920 x 1080 Pixels,core_i7,LPDDR4,16 GB,2.8 GHz,1 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,Bluetooth,,,3,15 Hours
https://www.amazon.com//Acer-i7-1165G7-Graphics-Fingerprint-SF313-53-78UG/dp/B08P5724PZ/ref=sr_1_88?keywords=laptop&qid=1653585574&sr=8-88,Acer Swift 3 Intel Evo,$613.99 ,13.5,,1280 x 720 Pixels,core_i7,LPDDR4,8 GB,2.8 GHz,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ac,,,3,14 Hours
https://www.amazon.com//Acer-NX-HQUAA-009-Spin-SP513-54N-58XD-Notebook/dp/B08FCN53WM/ref=sr_1_202?keywords=laptop&qid=1653585595&sr=8-202,"Acer Spin 5 Convertible Laptop,",$615.05 ,13.5,,2256x1504,core_i5,LPDDR4,8 GB,,256 GB SSD,GPU,Intel,Dedicated,Bluetooth,,2,2,15 Hours
