Link,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Graphics Card Ram Size,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Average Battery Life (in hours)
https://www.amazon.com//Acer-A515-46-R3UB-Display-Quad-Core-Processor/dp/B09HVC79PC/ref=sr_1_1?keywords=laptop&qid=1653585547&sr=8-1,15.6 Inches,,1920 x 1080,3.5 GHz ryzen_3,4 GB DDR4,3.5 GHz,128 GB SSD,,AMD,Integrated,Bluetooth,,1,3,10 Hours
https://www.amazon.com//Lenovo-IdeaPad-Display-GeForce-82K200UTUS/dp/B09BDFTX65/ref=sr_1_2?keywords=laptop&qid=1653585547&sr=8-2,15.6,,1920 x 1080,3.3 ryzen_5,8 GB DDR4,3200 MHz,256 GB SSD,NVIDIA GeForce GTX 1650,NVIDIA,Dedicated,802.11ax,,,2,8 Hours
https://www.amazon.com//HP-Notebook-Display-3-3250U-Processor/dp/B09WX9TDM1/ref=sr_1_3?keywords=laptop&qid=1653585547&sr=8-3,14 Inches,,1920 x 1080 Pixels,2.6 GHz ryzen_3_3250u,16 GB DDR4,3.5 GHz,512 GB SSD,AMD Radeon Graphics,AMD,,"Bluetooth, 802.11a",,,,
https://www.amazon.com//ASUS-i9-11900H-ScreenPad-Celestial-UX582HS-XH99T/dp/B09LYK1WWG/ref=sr_1_4?keywords=laptop&qid=1653585547&sr=8-4,15.6 Inches,3840 x 2160 pixels,3840 x 2160 Pixels,4.9 GHz intel_core_i9,32 GB DDR4,,1 TB SSD,NVIDIA GeForce RTX 3080,NVIDIA,RTX 3080,"Bluetooth, 802.11ax",32 GB,,1,
https://www.amazon.com//HP-Touchscreen-Portable-Microsoft-14-dq0070nr/dp/B0949SGBF8/ref=sr_1_5?keywords=laptop&qid=1653585547&sr=8-5,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.8 GHz celeron_n4020,4 GB DDR4,,eMMC,,Intel,Integrated,"802.11a/b/g/n/ac, Bluetooth",,,,10 Hours
https://www.amazon.com//Dell-Inspiron-i7-11390H-Thunderbolt4-0-Fingerprint/dp/B09SLLC612/ref=sr_1_6?keywords=laptop&qid=1653585547&sr=8-6,15.6 Inches,1920x1080,1920 x 1080 Pixels,2.9 GHz core_i7_family,32 GB DDR4,,1 TB SSD,NVIDIA GeForce MX450,NVIDIA,Dedicated,802.11ax,2 GB,,3,
https://www.amazon.com//Lenovo-Display-Processor-Storage-82JW00BDUS/dp/B09BDGD2TZ/ref=sr_1_7?keywords=laptop&qid=1653585547&sr=8-7,15.6,1920 x 1080,1920 x 1080,3.2 ryzen_7,16 GB DDR4,,512 GB SSD,‎NVIDIA GeForce RTX 3050 Ti,NVIDIA,Dedicated,802.11ax,,,4,
https://www.amazon.com//ASUS-Display-GeForce-Keyboard-G533ZX-XS96/dp/B09RN27LHT/ref=sr_1_8?keywords=laptop&qid=1653585547&sr=8-8,15.6 Inches,2560 x 1440 pixels,2560 x 1440 Pixels,5 GHz intel_core_i9,32 GB DDR5,4800 MHz,1 TB SSD,NVIDIA GeForce RTX 3080 Ti,NVIDIA,RTX 3080 Ti,"Bluetooth, 802.11ax",16 GB,,3,
https://www.amazon.com//MSI-GL66-Gaming-Laptop-i7-11800H/dp/B09127DDVT/ref=sr_1_9?keywords=laptop&qid=1653585547&sr=8-9,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.4 GHz core_i7,16 GB DDR4,3200 MHz,512 GB SSD,NVIDIA GeForce RTX 3070,NVIDIA,Dedicated,Bluetooth,8 GB,,3,
https://www.amazon.com//Samsung-Electronics-Platform-Processor-Long-Lasting/dp/B09D8SGXB6/ref=sr_1_10?keywords=laptop&qid=1653585547&sr=8-10,15.6 Inches,,1920 x 1080 Pixels,2.8 GHz intel_core_i7_1165g7,16 GB LPDDR4,,512 GB SSD,,Intel,Integrated,"Bluetooth, 802.11ax",,3,,10 Hours
https://www.amazon.com//MSI-Stealth-15M-Gaming-Laptop/dp/B091GGZT1S/ref=sr_1_11?keywords=laptop&qid=1653585547&sr=8-11,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,3.3 GHz core_i7,16 GB DDR4,3200 MHz,512 GB SSD,NVIDIA GeForce RTX 3060,NVIDIA,Dedicated,Bluetooth,6 GB,,2,
https://www.amazon.com//ASUS-i7-1165G7-Fingerprint-Transparent-K712EA-DS76/dp/B094K27CSY/ref=sr_1_12?keywords=laptop&qid=1653585547&sr=8-12,17.3 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.7 GHz apple_ci7,16 GB DDR4,,1 TB SSD,Intel Iris Xe Graphics,Intel,Iris® Xe,"Bluetooth, 802.11ax",16 GB,2,2,
https://www.amazon.com//Acer-AN517-54-79L1-i7-11800H-GeForce-Display/dp/B09HJKGK5V/ref=sr_1_13?keywords=laptop&qid=1653585547&sr=8-13,17.3 Inches,1920 x 1080,1920 x 1080,4.6 GHz core_i7,16 GB DDR4,4.6 GHz,1000 GB SSD,,NVIDIA,Dedicated,"Bluetooth, 802.11ax",4 GB,,4,8 Hours
https://www.amazon.com//HP-Storage-Touchscreen-Microsoft-14-fq0050nr/dp/B08CM6Q55C/ref=sr_1_14?keywords=laptop&qid=1653585547&sr=8-14,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.6 GHz amd_e_series,4 GB DDR4,2400 MHz,64 GB Embedded MultiMediaCard,AMD Radeon,AMD,Integrated,"Bluetooth, 802.11a/b/g/n/ac",,,,9 Hours
https://www.amazon.com//Acer-A517-52-75N6-i7-1165G7-Graphics-Fingerprint/dp/B09JHGHF7Y/ref=sr_1_15?keywords=laptop&qid=1653585547&sr=8-15,17.3 Inches,,1920 x 1080,4.7 GHz apple_ci7,16 GB DDR4,2.8 GHz,SSD,,Intel,Integrated,Bluetooth,,1,3,8 Hours
https://www.amazon.com//HP-Storage-Touchscreen-Microsoft-14-fq0040nr/dp/B08CM17RPZ/ref=sr_1_16?keywords=laptop&qid=1653585547&sr=8-16,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.6 GHz amd_e_series,4 GB DDR4,2400 MHz,64 GB Embedded MultiMediaCard,AMD Radeon,AMD,Integrated,"Bluetooth, 802.11a/b/g/n/ac",,,,9 Hours
https://www.amazon.com//MSI-i7-11800H-GeForce-RTX3060-Thunberbolt4/dp/B09Y8QN96Z/ref=sr_1_10?keywords=laptop&qid=1653585551&sr=8-10,17.3 Inches,1920x1080,1920x1080 Pixels,2.3 GHz core_i7_family,64 GB DDR4,3200 MHz,2 TB SSD,Nvidia GeForce RTX 3060 6GB,NVIDIA,Dedicated,802.11ax,6 GB,,6,6 Hours
https://www.amazon.com//LG-Gram-16T90P-Lightweight-Thunderbolt/dp/B08SZ95TK4/ref=sr_1_12?keywords=laptop&qid=1653585551&sr=8-12,16 Inches,2560 x 1600 pixels,2560 x 1600 Pixels,4.7 GHz core_i7_family,2 TB LPDDR4,4266 MHz,2 TB ssd,,Intel,Integrated,802.11ax,,,3,21 Hours
