Link,Title, Price  
https://www.amazon.com//2021-Dell-Inspiron-Laptop-i5-1035G1/dp/B09MC3WH8R/ref=sr_1_194?keywords=laptop&qid=1653585595&sr=8-194,"2021 Dell Inspiron 15 Laptop: Core i5-1035G1, 8GB RAM, 256GB SSD, 15.6"" Full HD Display, Windows 11",$555.00 
https://www.amazon.com//2021-MSI-HD-Gaming-i5-10200H-PCI/dp/B096WH5MY9/ref=sr_1_146?keywords=laptop&qid=1653585587&sr=8-146,"2021 MSI - GF63035 | 15.6"" Full HD Gaming Laptop |  Intel Core i5-10200H | 8GB DDR4/3200MHz, 256GB SSD (PCI-e) | Black, Windows 10 Home",None
https://www.amazon.com//2022-ASUS-Vivobook-15-6-Laptop/dp/B09Y125HJ9/ref=sr_1_278?keywords=laptop&qid=1653585611&sr=8-278,"2022 ASUS Vivobook 15.6"" FHD Laptop - Intel 10th Gen Quad-Core i7-1065G7 - Iris Plus Graphics - 36GB DDR4 RAM - 1TB M.2 NVMe SSD - HDMI USB-C WiFi AC - Windows 11 Pro - Slate Grey","$1,099.00 "
https://www.amazon.com//2022-HP-Performance-Business-Laptop/dp/B09SGVQQJ1/ref=sr_1_205?keywords=laptop&qid=1653585595&sr=8-205,"2022 HP High Performance Business Laptop - 15.6"" FHD IPS 250nit LCD - Intel i5-1135G7 Quad-Core w/ Iris Xe Graphics - 16GB DDR4 - 512GB NVMe SSD - RJ45 LAN -Backlit Keyboard -Win 11 Pro w/32GB USB",None
https://www.amazon.com//2022-LENOVO-ThinkPad-Yoga-Laptop/dp/B09WKYT1N2/ref=sr_1_182?keywords=laptop&qid=1653585592&sr=8-182,2022 LENOVO ThinkPad X1 Yoga Gen 5 2-in-1 Laptop - 14 inch FHD IPS 400nits HDR Touchscreen - 10th Intel Core i5-10510U - 16GB RAM - 1TB NVMe SSD - Fingerprint Backlit Keyboard - WiFi 6 -Win 11 Pro,None
https://www.amazon.com//Acer-3-60GHz-i5-1035G-DVD-Writer-A317-52/dp/B09432ZFQ6/ref=sr_1_255?keywords=laptop&qid=1653585606&sr=8-255,"Acer Aspire 3 Laptop, 17.3'' HD+ 1600 x 900, 3.60GHz Intel Core i5-1035G, 20GB DDR4 RAM, 128GB SSD + 1TB HDD, DVD-Writer, Windows 10, A317-52",$479.00 
https://www.amazon.com//Acer-A515-46-R3UB-Display-Quad-Core-Processor/dp/B09HVC79PC/ref=sr_1_1?keywords=laptop&qid=1653585547&sr=8-1,"Acer Aspire 5 A515-46-R3UB | 15.6"" Full HD IPS Display | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Amazon Alexa | Windows 11 Home in S mode",None
https://www.amazon.com//Acer-A515-55-35SE-i3-1005G1-Processor-Fingerprint/dp/B08HN1WDWZ/ref=sr_1_302?keywords=laptop&qid=1653585614&sr=8-302,"Acer Aspire 5 A515-55-35SE, 15.6"" Full HD Display, 10th Gen Intel Core i3-1005G1 Processor, 4GB DDR4, 128GB NVMe SSD, Intel WiFi 6 AX201, Backlit KB, Fingerprint Reader, Windows 10 Home (S Mode)",$369.00 
https://www.amazon.com//Acer-A515-56-53S3-i5-1135G7-Graphics-Fingerprint/dp/B09J5HXWG3/ref=sr_1_301?keywords=laptop&qid=1653585614&sr=8-301,"Acer Aspire 5 A515-56-53S3 Laptop | 15.6"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 | Intel Iris Xe Graphics | 8GB DDR4 | 256GB SSD | WiFi 6 | Fingerprint Reader | BL Keyboard | Windows 11",$602.62 
https://www.amazon.com//Acer-A515-56-702V-i7-1165G7-Graphics-Fingerprint/dp/B09J5FQ4P5/ref=sr_1_122?keywords=laptop&qid=1653585581&sr=8-122,"Acer Aspire 5 A515-56-702V Laptop | 15.6"" Full HD IPS Display | 11th Gen Intel Core i7-1165G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB SSD | WiFi 6 | Fingerprint Reader | BL Keyboard | Windows 11",None
